"","classification","year","period","period_desc","aggregate_level","is_leaf_code","trade_flow_code","trade_flow","reporter_code","reporter","reporter_iso","partner_code","partner","partner_iso","second_partner_code","second_partner","second_partner_iso","customs_proc_code","customs","mode_of_transport_code","mode_of_transport","commodity_code","commodity","qty_unit_code","qty_unit","alt_qty_unit_code","alt_qty_unit","qty","alt_qty","netweight_kg","gross_weight_kg","trade_value_usd","cif_trade_value_usd","fob_trade_value_usd","flag"
"1325","H5",2018,2018,"2018",2,0,1,"Import",470,"Malta","MLT",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,24501762,NA,NA,4
"1326","H5",2018,2018,"2018",2,0,1,"Import",480,"Mauritius","MUS",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,53544624,NA,NA,4
"1327","H5",2018,2018,"2018",2,0,1,"Import",490,"Other Asia, nes",NA,0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,2475558947,NA,NA,4
"1328","H5",2018,2018,"2018",2,0,1,"Import",496,"Mongolia","MNG",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,37625620,NA,NA,4
"1329","H5",2018,2018,"2018",2,0,1,"Import",499,"Montenegro","MNE",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,35104149,NA,NA,4
"1330","H5",2018,2018,"2018",2,0,1,"Import",504,"Morocco","MAR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,528766532,NA,NA,4
"1331","H5",2018,2018,"2018",2,0,1,"Import",508,"Mozambique","MOZ",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,512230329,NA,NA,4
"1332","H5",2018,2018,"2018",2,0,1,"Import",512,"Oman","OMN",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,253985886,NA,NA,0
"1333","H5",2018,2018,"2018",2,0,1,"Import",516,"Namibia","NAM",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,28409325,NA,NA,4
"1334","H5",2018,2018,"2018",2,0,1,"Import",528,"Netherlands","NLD",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,6001692425,NA,NA,4
"1335","H5",2018,2018,"2018",2,0,1,"Import",554,"New Zealand","NZL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,275963111,NA,NA,4
"1336","H5",2018,2018,"2018",2,0,1,"Import",558,"Nicaragua","NIC",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,37231319,NA,NA,0
"1337","H5",2018,2018,"2018",2,0,1,"Import",579,"Norway","NOR",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1414110982,NA,NA,4
"1338","H5",2018,2018,"2018",2,0,1,"Import",585,"Palau","PLW",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,976250,NA,NA,0
"1339","H5",2018,2018,"2018",2,0,1,"Import",586,"Pakistan","PAK",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,374288616,NA,NA,4
"1340","H5",2018,2018,"2018",2,0,1,"Import",600,"Paraguay","PRY",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,105457760,NA,NA,4
"1341","H5",2018,2018,"2018",2,0,1,"Import",604,"Peru","PER",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,NA,NA,190759042,NA,NA,4
"1342","H5",2018,2018,"2018",2,0,1,"Import",616,"Poland","POL",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,5154126114,NA,NA,4
"1343","H5",2018,2018,"2018",2,0,1,"Import",620,"Portugal","PRT",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1022664091,NA,NA,4
"1344","H5",2018,2018,"2018",2,0,1,"Import",642,"Romania","ROU",0,"World","WLD",NA,NA,NA,NA,NA,NA,NA,"76","Aluminium and articles thereof",1,"No Quantity",NA,NA,0,NA,0,NA,1231118797,NA,NA,4
